I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-9.76,-4.88,4.88,9.76,-9.76,0,39.04,48.8,29.28,24.4,14.64,14.64
19.52,4.88,-14.64,-9.76,14.64,-4.88,34.16,43.92,19.52,14.64,4.88,9.76
14.64,0,-14.64,-4.88,14.64,-9.76,29.28,39.04,14.64,9.76,4.88,4.88
0,4.88,4.88,0,-4.88,4.88,43.92,43.92,24.4,19.52,14.64,14.64
-4.88,0,4.88,4.88,-4.88,0,48.8,48.8,24.4,24.4,19.52,14.64
-4.88,-9.76,-4.88,9.76,0,-9.76,43.92,39.04,19.52,14.64,9.76,14.64
19.52,-4.88,-24.4,-4.88,19.52,-14.64,43.92,34.16,19.52,14.64,9.76,9.76
19.52,14.64,-4.88,-14.64,9.76,4.88,53.68,48.8,29.28,24.4,19.52,19.52
19.52,14.64,-4.88,-14.64,9.76,4.88,53.68,48.8,29.28,29.28,24.4,24.4
24.4,19.52,-4.88,-19.52,14.64,4.88,53.68,53.68,34.16,34.16,24.4,29.28
0,19.52,19.52,-9.76,-9.76,19.52,53.68,58.56,43.92,39.04,29.28,29.28
9.76,24.4,14.64,-14.64,-4.88,19.52,58.56,63.44,48.8,43.92,29.28,34.16
34.16,48.8,14.64,-39.04,9.76,29.28,53.68,73.2,48.8,43.92,34.16,39.04
29.28,34.16,4.88,-29.28,9.76,19.52,53.68,63.44,48.8,43.92,34.16,34.16
0,19.52,19.52,-9.76,-9.76,19.52,63.44,63.44,58.56,48.8,39.04,29.28
-4.88,14.64,19.52,-4.88,-14.64,14.64,58.56,58.56,53.68,48.8,34.16,34.16
9.76,19.52,9.76,-14.64,0,14.64,53.68,58.56,58.56,53.68,34.16,29.28
14.64,24.4,9.76,-19.52,0,14.64,63.44,68.32,68.32,58.56,43.92,39.04
19.52,34.16,14.64,-24.4,0,24.4,63.44,68.32,68.32,63.44,39.04,34.16
53.68,43.92,-9.76,-48.8,29.28,14.64,58.56,68.32,73.2,68.32,43.92,39.04
34.16,43.92,9.76,-39.04,9.76,24.4,68.32,82.96,87.84,82.96,58.56,48.8
4.88,34.16,29.28,-19.52,-14.64,29.28,63.44,82.96,92.72,78.08,58.56,53.68
9.76,34.16,24.4,-19.52,-9.76,29.28,53.68,82.96,87.84,78.08,58.56,53.68
34.16,48.8,14.64,-39.04,9.76,29.28,53.68,87.84,92.72,82.96,63.44,53.68
29.28,53.68,24.4,-39.04,0,39.04,58.56,97.6,107.36,92.72,68.32,68.32
34.16,39.04,4.88,-34.16,14.64,19.52,53.68,92.72,107.36,87.84,63.44,63.44
34.16,48.8,14.64,-39.04,9.76,29.28,53.68,97.6,112.24,97.6,73.2,63.44
43.92,43.92,0,-43.92,19.52,19.52,53.68,107.36,122,107.36,78.08,68.32
43.92,53.68,9.76,-48.8,14.64,29.28,53.68,117.12,126.88,107.36,82.96,63.44
39.04,58.56,19.52,-48.8,9.76,39.04,53.68,122,136.64,117.12,87.84,73.2
48.8,68.32,19.52,-58.56,14.64,43.92,53.68,131.76,151.28,126.88,97.6,78.08
43.92,53.68,9.76,-48.8,14.64,29.28,39.04,126.88,151.28,126.88,92.72,82.96
19.52,53.68,34.16,-34.16,-9.76,43.92,43.92,136.64,156.16,141.52,112.24,92.72
58.56,78.08,19.52,-68.32,19.52,48.8,43.92,146.4,161.04,146.4,117.12,97.6
68.32,78.08,9.76,-73.2,29.28,43.92,34.16,141.52,161.04,146.4,112.24,97.6
53.68,73.2,19.52,-63.44,14.64,43.92,29.28,141.52,165.92,146.4,117.12,102.48
29.28,68.32,39.04,-48.8,-4.88,53.68,34.16,151.28,170.8,161.04,131.76,107.36
43.92,58.56,14.64,-48.8,14.64,34.16,24.4,161.04,170.8,156.16,131.76,107.36
92.72,78.08,-14.64,-82.96,53.68,29.28,14.64,161.04,175.68,161.04,131.76,107.36
87.84,87.84,0,-87.84,43.92,43.92,14.64,165.92,185.44,165.92,131.76,117.12
43.92,87.84,43.92,-63.44,0,63.44,19.52,180.56,204.96,185.44,151.28,126.88
53.68,92.72,39.04,-73.2,4.88,63.44,24.4,185.44,209.84,195.2,156.16,141.52
78.08,92.72,14.64,-82.96,29.28,53.68,4.88,165.92,190.32,180.56,141.52,122
53.68,78.08,24.4,-63.44,14.64,48.8,4.88,170.8,200.08,185.44,151.28,126.88
48.8,73.2,24.4,-58.56,9.76,48.8,9.76,185.44,219.6,190.32,161.04,136.64
58.56,78.08,19.52,-68.32,19.52,48.8,14.64,190.32,229.36,200.08,165.92,146.4
73.2,97.6,24.4,-82.96,24.4,58.56,14.64,195.2,229.36,219.6,180.56,151.28
112.24,107.36,-4.88,-107.36,58.56,48.8,9.76,190.32,229.36,214.72,180.56,146.4
122,112.24,-9.76,-117.12,63.44,48.8,9.76,190.32,234.24,219.6,185.44,151.28
107.36,112.24,4.88,-107.36,48.8,58.56,9.76,195.2,239.12,229.36,200.08,165.92
78.08,112.24,34.16,-92.72,19.52,73.2,9.76,204.96,258.64,244,209.84,175.68
97.6,107.36,9.76,-102.48,43.92,58.56,-4.88,200.08,244,229.36,195.2,170.8
122,131.76,9.76,-126.88,53.68,68.32,-4.88,200.08,244,234.24,195.2,170.8
