I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-82.96,63.44,146.4,9.76,-117.12,102.48,-141.52,-1190.72,-1093.12,-732,-346.48,9.76
-92.72,82.96,175.68,4.88,-136.64,126.88,-161.04,-1293.2,-1288.32,-863.76,-468.48,-14.64
-122,73.2,195.2,24.4,-161.04,131.76,-170.8,-1390.8,-1512.8,-1000.4,-605.12,-53.68
-136.64,9.76,146.4,63.44,-141.52,78.08,-209.84,-1449.36,-1708,-1132.16,-751.52,-122
-185.44,-107.36,78.08,146.4,-131.76,-14.64,-244,-1478.64,-1854.4,-1229.76,-897.92,-190.32
-219.6,-219.6,0,219.6,-112.24,-112.24,-292.8,-1464,-1956.88,-1278.56,-1005.28,-248.88
-234.24,-326.96,-92.72,283.04,-73.2,-209.84,-322.08,-1420.08,-2020.32,-1288.32,-1093.12,-297.68
-263.52,-419.68,-156.16,341.6,-53.68,-287.92,-351.36,-1351.76,-2044.72,-1268.8,-1156.56,-317.2
-253.76,-483.12,-229.36,370.88,-14.64,-356.24,-390.4,-1268.8,-2010.56,-1215.12,-1185.84,-341.6
-209.84,-478.24,-268.4,346.48,29.28,-375.76,-405.04,-1127.28,-1942.24,-1088.24,-1176.08,-322.08
-146.4,-424.56,-278.16,287.92,63.44,-351.36,-424.56,-961.36,-1834.88,-951.6,-1117.52,-273.28
-117.12,-361.12,-244,239.12,63.44,-302.56,-424.56,-775.92,-1717.76,-780.8,-1049.2,-224.48
-73.2,-283.04,-209.84,180.56,68.32,-248.88,-424.56,-575.84,-1590.88,-629.52,-976,-161.04
-39.04,-219.6,-180.56,131.76,68.32,-200.08,-405.04,-419.68,-1507.92,-497.76,-932.08,-126.88
-48.8,-195.2,-146.4,122,48.8,-170.8,-375.76,-263.52,-1434.72,-390.4,-897.92,-102.48
-58.56,-180.56,-122,122,29.28,-151.28,-326.96,-122,-1366.4,-278.16,-863.76,-73.2
-53.68,-161.04,-107.36,107.36,24.4,-136.64,-283.04,9.76,-1298.08,-170.8,-829.6,-39.04
-68.32,-136.64,-68.32,102.48,0,-102.48,-253.76,122,-1249.28,-78.08,-795.44,-4.88
-48.8,-102.48,-53.68,78.08,0,-78.08,-214.72,204.96,-1215.12,-9.76,-761.28,24.4
-19.52,-63.44,-43.92,43.92,9.76,-53.68,-190.32,278.16,-1215.12,43.92,-756.4,39.04
14.64,-19.52,-34.16,4.88,24.4,-29.28,-170.8,317.2,-1239.52,68.32,-756.4,48.8
39.04,0,-39.04,-19.52,39.04,-19.52,-161.04,346.48,-1263.92,87.84,-761.28,53.68
58.56,14.64,-43.92,-34.16,48.8,-14.64,-161.04,356.24,-1293.2,97.6,-771.04,58.56
63.44,19.52,-43.92,-39.04,53.68,-14.64,-165.92,356.24,-1342,97.6,-785.68,48.8
34.16,-4.88,-39.04,-14.64,34.16,-24.4,-175.68,346.48,-1381.04,92.72,-795.44,39.04
0,-34.16,-34.16,19.52,14.64,-34.16,-185.44,356.24,-1400.56,97.6,-795.44,29.28
-4.88,-39.04,-34.16,24.4,14.64,-39.04,-195.2,361.12,-1444.48,92.72,-800.32,19.52
-29.28,-58.56,-29.28,43.92,0,-43.92,-200.08,375.76,-1459.12,92.72,-785.68,19.52
