I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-34.16,-34.16,0,34.16,-19.52,-19.52,53.68,48.8,-78.08,-19.52,-9.76,-58.56
-43.92,-34.16,9.76,39.04,-29.28,-14.64,58.56,53.68,-82.96,-9.76,-4.88,-48.8
-43.92,-29.28,14.64,39.04,-29.28,-9.76,63.44,53.68,-87.84,-14.64,-9.76,-48.8
-39.04,-4.88,34.16,24.4,-39.04,14.64,73.2,68.32,-73.2,0,0,-43.92
-29.28,0,29.28,14.64,-29.28,14.64,78.08,78.08,-53.68,9.76,4.88,-43.92
-4.88,0,4.88,4.88,-4.88,0,68.32,82.96,-34.16,19.52,4.88,-39.04
9.76,-9.76,-19.52,0,14.64,-14.64,73.2,92.72,-9.76,29.28,29.28,-24.4
4.88,-19.52,-24.4,9.76,14.64,-24.4,73.2,92.72,-4.88,34.16,34.16,-14.64
-4.88,-19.52,-14.64,14.64,4.88,-19.52,63.44,87.84,-19.52,39.04,34.16,-19.52
0,-19.52,-19.52,9.76,9.76,-19.52,63.44,73.2,-34.16,24.4,29.28,-24.4
-19.52,-29.28,-9.76,24.4,-4.88,-19.52,63.44,73.2,-48.8,14.64,24.4,-29.28
-14.64,-9.76,4.88,14.64,-9.76,-4.88,58.56,68.32,-53.68,9.76,14.64,-39.04
-9.76,4.88,14.64,4.88,-14.64,9.76,63.44,82.96,-39.04,19.52,14.64,-34.16
-4.88,4.88,9.76,0,-9.76,4.88,63.44,97.6,-19.52,29.28,24.4,-34.16
9.76,0,-9.76,-4.88,9.76,-4.88,63.44,107.36,4.88,43.92,34.16,-24.4
14.64,-4.88,-19.52,-4.88,14.64,-14.64,68.32,112.24,24.4,58.56,48.8,-9.76
29.28,4.88,-24.4,-14.64,24.4,-9.76,63.44,112.24,29.28,73.2,63.44,0
29.28,4.88,-24.4,-14.64,24.4,-9.76,73.2,112.24,34.16,78.08,78.08,14.64
14.64,0,-14.64,-4.88,14.64,-9.76,73.2,117.12,34.16,73.2,78.08,14.64
19.52,4.88,-14.64,-9.76,14.64,-4.88,58.56,112.24,24.4,63.44,63.44,9.76
19.52,0,-19.52,-9.76,19.52,-9.76,48.8,112.24,14.64,53.68,53.68,-9.76
14.64,-4.88,-19.52,-4.88,14.64,-14.64,48.8,117.12,19.52,58.56,48.8,-9.76
29.28,0,-29.28,-14.64,29.28,-14.64,43.92,122,19.52,68.32,53.68,-9.76
19.52,0,-19.52,-9.76,19.52,-9.76,43.92,126.88,34.16,73.2,63.44,-4.88
24.4,14.64,-9.76,-19.52,14.64,0,53.68,136.64,53.68,102.48,87.84,14.64
29.28,9.76,-19.52,-19.52,24.4,-4.88,63.44,146.4,73.2,122,107.36,39.04
34.16,4.88,-29.28,-19.52,29.28,-14.64,73.2,156.16,78.08,122,122,43.92
43.92,14.64,-29.28,-29.28,34.16,-9.76,68.32,161.04,82.96,126.88,122,48.8
53.68,24.4,-29.28,-39.04,39.04,-4.88,53.68,161.04,82.96,117.12,112.24,34.16
58.56,19.52,-39.04,-39.04,48.8,-9.76,48.8,165.92,87.84,112.24,102.48,24.4
63.44,24.4,-39.04,-43.92,48.8,-9.76,48.8,170.8,92.72,122,102.48,29.28
34.16,14.64,-19.52,-24.4,24.4,-4.88,48.8,175.68,107.36,131.76,122,39.04
19.52,9.76,-9.76,-14.64,14.64,0,53.68,180.56,126.88,151.28,136.64,63.44
43.92,9.76,-34.16,-24.4,39.04,-14.64,43.92,180.56,122,161.04,151.28,73.2
63.44,14.64,-48.8,-39.04,53.68,-19.52,39.04,185.44,131.76,170.8,161.04,82.96
58.56,19.52,-39.04,-39.04,48.8,-9.76,53.68,214.72,151.28,190.32,175.68,102.48
73.2,14.64,-58.56,-43.92,63.44,-24.4,58.56,224.48,165.92,195.2,180.56,107.36
73.2,9.76,-63.44,-39.04,68.32,-29.28,53.68,229.36,180.56,195.2,180.56,107.36
78.08,24.4,-53.68,-48.8,63.44,-14.64,48.8,234.24,190.32,200.08,185.44,102.48
78.08,29.28,-48.8,-53.68,63.44,-9.76,34.16,234.24,190.32,204.96,190.32,97.6
82.96,29.28,-53.68,-53.68,68.32,-14.64,29.28,229.36,190.32,209.84,190.32,107.36
87.84,29.28,-58.56,-58.56,73.2,-14.64,24.4,229.36,185.44,219.6,204.96,117.12
78.08,39.04,-39.04,-58.56,58.56,0,24.4,224.48,180.56,224.48,214.72,122
92.72,63.44,-29.28,-78.08,58.56,14.64,29.28,234.24,190.32,234.24,234.24,136.64
107.36,73.2,-34.16,-87.84,68.32,19.52,34.16,253.76,214.72,248.88,244,146.4
107.36,68.32,-39.04,-87.84,73.2,14.64,39.04,278.16,244,263.52,253.76,156.16
