I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-122,-170.8,-48.8,146.4,-39.04,-112.24,-34.16,-122,-165.92,-165.92,-102.48,-34.16
-82.96,-136.64,-53.68,112.24,-14.64,-97.6,-9.76,-97.6,-146.4,-141.52,-82.96,-9.76
-97.6,-156.16,-58.56,126.88,-19.52,-107.36,-9.76,-97.6,-146.4,-151.28,-87.84,-14.64
-126.88,-180.56,-53.68,156.16,-39.04,-117.12,-14.64,-102.48,-151.28,-151.28,-97.6,-14.64
-82.96,-146.4,-63.44,117.12,-9.76,-107.36,14.64,-73.2,-117.12,-112.24,-63.44,24.4
-53.68,-112.24,-58.56,82.96,0,-87.84,24.4,-53.68,-92.72,-87.84,-39.04,39.04
-68.32,-117.12,-48.8,92.72,-9.76,-82.96,4.88,-48.8,-92.72,-87.84,-39.04,43.92
-73.2,-112.24,-39.04,92.72,-19.52,-78.08,14.64,-48.8,-92.72,-92.72,-43.92,53.68
-53.68,-107.36,-53.68,82.96,0,-82.96,4.88,-48.8,-92.72,-97.6,-53.68,39.04
-43.92,-112.24,-68.32,78.08,9.76,-92.72,14.64,-53.68,-97.6,-107.36,-63.44,29.28
-48.8,-112.24,-63.44,82.96,4.88,-87.84,24.4,-39.04,-97.6,-102.48,-58.56,29.28
-53.68,-107.36,-53.68,82.96,0,-82.96,24.4,-34.16,-87.84,-97.6,-53.68,24.4
-29.28,-92.72,-63.44,63.44,14.64,-78.08,24.4,-34.16,-92.72,-97.6,-58.56,24.4
-24.4,-73.2,-48.8,48.8,9.76,-63.44,24.4,-29.28,-97.6,-92.72,-58.56,34.16
-63.44,-97.6,-34.16,82.96,-14.64,-68.32,34.16,-19.52,-78.08,-68.32,-43.92,53.68
-82.96,-117.12,-34.16,102.48,-24.4,-78.08,24.4,-14.64,-73.2,-68.32,-39.04,53.68
-97.6,-122,-24.4,112.24,-39.04,-73.2,19.52,-24.4,-78.08,-78.08,-48.8,39.04
-82.96,-117.12,-34.16,102.48,-24.4,-78.08,14.64,-14.64,-78.08,-78.08,-48.8,39.04
-78.08,-122,-43.92,102.48,-19.52,-82.96,14.64,-9.76,-68.32,-73.2,-48.8,39.04
-68.32,-126.88,-58.56,97.6,-4.88,-92.72,29.28,-4.88,-73.2,-82.96,-48.8,29.28
-4.88,-73.2,-68.32,39.04,29.28,-73.2,58.56,34.16,-48.8,-53.68,-29.28,48.8
-19.52,-73.2,-53.68,48.8,14.64,-63.44,58.56,53.68,-39.04,-48.8,-24.4,58.56
-14.64,-68.32,-53.68,43.92,19.52,-63.44,58.56,63.44,-24.4,-48.8,-24.4,58.56
0,-39.04,-39.04,19.52,19.52,-39.04,68.32,87.84,-14.64,-34.16,-4.88,68.32
-34.16,-68.32,-34.16,53.68,0,-53.68,53.68,82.96,-24.4,-29.28,-4.88,68.32
-53.68,-82.96,-29.28,68.32,-14.64,-58.56,68.32,78.08,-19.52,-29.28,-4.88,63.44
-43.92,-82.96,-39.04,63.44,-4.88,-63.44,48.8,78.08,-29.28,-34.16,-14.64,58.56
-43.92,-78.08,-34.16,63.44,-4.88,-58.56,43.92,82.96,-19.52,-34.16,-14.64,43.92
-19.52,-63.44,-43.92,43.92,9.76,-53.68,58.56,97.6,-4.88,-29.28,0,48.8
0,-48.8,-48.8,24.4,24.4,-48.8,68.32,122,19.52,-19.52,4.88,58.56
4.88,-39.04,-43.92,19.52,24.4,-43.92,68.32,141.52,43.92,-9.76,14.64,73.2
19.52,-14.64,-34.16,0,24.4,-24.4,78.08,151.28,58.56,-4.88,19.52,78.08
29.28,-14.64,-43.92,-4.88,34.16,-29.28,63.44,156.16,68.32,-4.88,19.52,73.2
34.16,-9.76,-43.92,-9.76,39.04,-29.28,68.32,180.56,92.72,9.76,34.16,87.84
24.4,-19.52,-43.92,0,34.16,-34.16,73.2,190.32,102.48,19.52,43.92,97.6
0,-24.4,-24.4,14.64,9.76,-24.4,63.44,185.44,102.48,14.64,43.92,87.84
14.64,-9.76,-24.4,0,19.52,-19.52,68.32,209.84,126.88,29.28,53.68,112.24
48.8,24.4,-24.4,-34.16,34.16,0,78.08,234.24,146.4,48.8,73.2,112.24
73.2,39.04,-34.16,-53.68,53.68,0,92.72,253.76,161.04,68.32,92.72,126.88
82.96,39.04,-43.92,-58.56,63.44,-4.88,92.72,263.52,165.92,58.56,78.08,112.24
87.84,24.4,-63.44,-53.68,73.2,-19.52,92.72,273.28,170.8,53.68,78.08,107.36
63.44,14.64,-48.8,-39.04,53.68,-19.52,87.84,287.92,180.56,58.56,78.08,112.24
34.16,-9.76,-43.92,-9.76,39.04,-29.28,87.84,307.44,185.44,63.44,82.96,112.24
19.52,-19.52,-39.04,0,29.28,-29.28,87.84,326.96,204.96,82.96,97.6,107.36
29.28,9.76,-19.52,-19.52,24.4,-4.88,102.48,361.12,244,112.24,117.12,136.64
58.56,53.68,-4.88,-53.68,29.28,24.4,107.36,375.76,268.4,126.88,136.64,161.04
58.56,43.92,-14.64,-48.8,34.16,14.64,97.6,380.64,287.92,126.88,136.64,151.28
43.92,39.04,-4.88,-39.04,24.4,14.64,102.48,400.16,292.8,136.64,146.4,151.28
53.68,34.16,-19.52,-43.92,34.16,4.88,78.08,390.4,273.28,126.88,136.64,136.64
112.24,78.08,-34.16,-92.72,73.2,19.52,102.48,419.68,292.8,146.4,151.28,146.4
117.12,78.08,-39.04,-97.6,78.08,19.52,107.36,444.08,317.2,161.04,161.04,151.28
141.52,112.24,-29.28,-126.88,82.96,39.04,117.12,458.72,331.84,180.56,180.56,170.8
175.68,136.64,-39.04,-156.16,107.36,48.8,122,483.12,366,200.08,195.2,195.2
170.8,117.12,-53.68,-141.52,112.24,29.28,122,507.52,385.52,219.6,219.6,209.84
175.68,136.64,-39.04,-156.16,107.36,48.8,126.88,512.4,395.28,234.24,229.36,229.36
165.92,151.28,-14.64,-156.16,87.84,68.32,112.24,502.64,390.4,234.24,224.48,239.12
161.04,151.28,-9.76,-156.16,82.96,68.32,102.48,512.4,395.28,239.12,234.24,229.36
156.16,131.76,-24.4,-141.52,87.84,53.68,87.84,512.4,400.16,244,234.24,244
161.04,141.52,-19.52,-151.28,87.84,58.56,102.48,517.28,414.8,253.76,248.88,263.52
185.44,165.92,-19.52,-175.68,102.48,73.2,97.6,512.4,419.68,253.76,244,253.76
180.56,156.16,-24.4,-165.92,102.48,63.44,87.84,522.16,419.68,263.52,258.64,263.52
146.4,131.76,-14.64,-136.64,78.08,58.56,82.96,512.4,414.8,253.76,253.76,258.64
136.64,122,-14.64,-126.88,73.2,53.68,82.96,507.52,409.92,253.76,258.64,248.88
151.28,136.64,-14.64,-141.52,82.96,58.56,87.84,517.28,419.68,268.4,268.4,268.4
185.44,190.32,4.88,-185.44,87.84,97.6,87.84,522.16,439.2,292.8,287.92,302.56
200.08,224.48,24.4,-209.84,87.84,122,82.96,522.16,439.2,302.56,297.68,312.32
195.2,214.72,19.52,-204.96,87.84,117.12,58.56,517.28,444.08,302.56,302.56,322.08
195.2,200.08,4.88,-195.2,92.72,102.48,58.56,502.64,429.44,297.68,297.68,326.96
219.6,229.36,9.76,-224.48,102.48,117.12,68.32,492.88,429.44,292.8,302.56,326.96
219.6,234.24,14.64,-224.48,102.48,122,58.56,483.12,429.44,292.8,297.68,322.08
229.36,244,14.64,-234.24,107.36,126.88,63.44,478.24,419.68,287.92,297.68,312.32
234.24,248.88,14.64,-239.12,107.36,131.76,68.32,473.36,414.8,287.92,297.68,322.08
200.08,229.36,29.28,-214.72,82.96,126.88,53.68,453.84,390.4,273.28,283.04,322.08
156.16,200.08,43.92,-175.68,53.68,122,29.28,429.44,380.64,263.52,273.28,322.08
141.52,180.56,39.04,-161.04,48.8,107.36,29.28,419.68,380.64,263.52,273.28,336.72
165.92,190.32,24.4,-175.68,68.32,107.36,24.4,395.28,366,258.64,273.28,341.6
156.16,185.44,29.28,-170.8,63.44,107.36,19.52,375.76,336.72,239.12,258.64,331.84
156.16,200.08,43.92,-175.68,53.68,122,24.4,366,331.84,229.36,253.76,346.48
180.56,224.48,43.92,-200.08,68.32,131.76,29.28,351.36,326.96,219.6,244,351.36
170.8,195.2,24.4,-180.56,73.2,107.36,24.4,336.72,307.44,195.2,224.48,346.48
131.76,161.04,29.28,-146.4,48.8,92.72,34.16,317.2,287.92,185.44,209.84,346.48
151.28,185.44,34.16,-165.92,58.56,107.36,34.16,297.68,263.52,170.8,195.2,336.72
141.52,165.92,24.4,-151.28,58.56,92.72,34.16,278.16,248.88,156.16,175.68,326.96
68.32,97.6,29.28,-82.96,19.52,63.44,24.4,248.88,224.48,126.88,146.4,312.32
19.52,63.44,43.92,-39.04,-14.64,53.68,34.16,229.36,200.08,107.36,136.64,297.68
24.4,63.44,39.04,-43.92,-9.76,48.8,34.16,204.96,190.32,97.6,131.76,307.44
4.88,39.04,34.16,-19.52,-14.64,34.16,14.64,180.56,165.92,73.2,107.36,297.68
-39.04,9.76,48.8,14.64,-43.92,29.28,14.64,156.16,136.64,48.8,82.96,297.68
-19.52,24.4,43.92,0,-34.16,34.16,24.4,126.88,122,39.04,68.32,287.92
-14.64,4.88,19.52,4.88,-19.52,9.76,24.4,112.24,97.6,19.52,53.68,273.28
-29.28,-19.52,9.76,24.4,-19.52,-4.88,39.04,107.36,87.84,9.76,48.8,268.4
4.88,19.52,14.64,-9.76,-4.88,14.64,43.92,102.48,92.72,19.52,53.68,273.28
29.28,34.16,4.88,-29.28,9.76,19.52,29.28,87.84,78.08,9.76,58.56,278.16
-19.52,-19.52,0,19.52,-9.76,-9.76,9.76,53.68,48.8,-19.52,24.4,248.88
-43.92,-39.04,4.88,43.92,-24.4,-19.52,4.88,19.52,24.4,-39.04,9.76,224.48
-24.4,-14.64,9.76,19.52,-19.52,-4.88,14.64,4.88,24.4,-48.8,9.76,224.48
-58.56,-43.92,14.64,53.68,-39.04,-14.64,19.52,-19.52,4.88,-68.32,-14.64,204.96
-97.6,-107.36,-9.76,102.48,-43.92,-58.56,0,-34.16,-19.52,-87.84,-29.28,190.32
