I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
48.8,112.24,63.44,-78.08,-9.76,87.84,34.16,97.6,97.6,102.48,92.72,122
24.4,102.48,78.08,-63.44,-29.28,87.84,43.92,87.84,87.84,87.84,82.96,117.12
4.88,78.08,73.2,-39.04,-34.16,73.2,48.8,78.08,73.2,73.2,68.32,102.48
-14.64,63.44,78.08,-24.4,-48.8,68.32,53.68,63.44,53.68,58.56,53.68,97.6
-9.76,48.8,58.56,-19.52,-34.16,53.68,43.92,39.04,34.16,34.16,39.04,82.96
-9.76,39.04,48.8,-14.64,-29.28,43.92,43.92,29.28,14.64,14.64,14.64,63.44
-14.64,34.16,48.8,-9.76,-34.16,39.04,48.8,19.52,0,0,4.88,48.8
-29.28,19.52,48.8,4.88,-39.04,34.16,48.8,9.76,-14.64,-19.52,-9.76,34.16
-48.8,-9.76,39.04,29.28,-43.92,14.64,43.92,0,-34.16,-29.28,-24.4,14.64
-24.4,-4.88,19.52,14.64,-24.4,4.88,48.8,-9.76,-43.92,-53.68,-43.92,-4.88
-34.16,-9.76,24.4,24.4,-29.28,4.88,48.8,-14.64,-48.8,-58.56,-48.8,-4.88
-58.56,-29.28,29.28,43.92,-43.92,0,48.8,-24.4,-53.68,-68.32,-63.44,-19.52
-58.56,-29.28,29.28,43.92,-43.92,0,53.68,-34.16,-58.56,-73.2,-63.44,-24.4
-73.2,-24.4,48.8,48.8,-63.44,9.76,58.56,-39.04,-58.56,-68.32,-63.44,-24.4
-63.44,-34.16,29.28,48.8,-48.8,-4.88,58.56,-48.8,-73.2,-78.08,-73.2,-29.28
-48.8,-29.28,19.52,39.04,-34.16,-4.88,58.56,-58.56,-87.84,-97.6,-78.08,-39.04
-73.2,-39.04,34.16,58.56,-53.68,-4.88,63.44,-53.68,-82.96,-92.72,-78.08,-39.04
-48.8,-48.8,0,48.8,-24.4,-24.4,48.8,-68.32,-102.48,-112.24,-87.84,-53.68
-63.44,-68.32,-4.88,68.32,-29.28,-39.04,34.16,-68.32,-112.24,-122,-102.48,-68.32
-112.24,-73.2,39.04,92.72,-78.08,-19.52,48.8,-48.8,-92.72,-107.36,-87.84,-53.68
-73.2,-63.44,9.76,68.32,-43.92,-29.28,39.04,-58.56,-102.48,-112.24,-92.72,-68.32
-63.44,-68.32,-4.88,68.32,-29.28,-39.04,39.04,-63.44,-112.24,-122,-102.48,-73.2
-63.44,-73.2,-9.76,68.32,-29.28,-43.92,43.92,-68.32,-112.24,-122,-102.48,-73.2
-48.8,-73.2,-24.4,63.44,-14.64,-48.8,34.16,-87.84,-126.88,-131.76,-117.12,-87.84
-58.56,-73.2,-14.64,68.32,-24.4,-43.92,39.04,-87.84,-126.88,-131.76,-107.36,-82.96
