I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-53.68,-29.28,24.4,43.92,-39.04,-4.88,-4.88,-14.64,-43.92,48.8,-9.76,9.76
-48.8,-29.28,19.52,39.04,-34.16,-4.88,-9.76,-24.4,-43.92,48.8,-9.76,24.4
-4.88,-19.52,-14.64,14.64,4.88,-19.52,-14.64,-19.52,-43.92,53.68,-9.76,24.4
53.68,4.88,-48.8,-29.28,48.8,-24.4,-29.28,-39.04,-53.68,39.04,-19.52,19.52
102.48,4.88,-97.6,-53.68,97.6,-48.8,-43.92,-48.8,-63.44,24.4,-34.16,9.76
126.88,9.76,-117.12,-68.32,122,-53.68,-53.68,-58.56,-78.08,24.4,-39.04,0
107.36,0,-107.36,-53.68,107.36,-53.68,-48.8,-63.44,-78.08,19.52,-43.92,19.52
68.32,-14.64,-82.96,-24.4,73.2,-48.8,-34.16,-39.04,-63.44,29.28,-39.04,19.52
14.64,-24.4,-39.04,4.88,24.4,-34.16,-19.52,-19.52,-39.04,43.92,-19.52,34.16
-53.68,-34.16,19.52,43.92,-39.04,-9.76,0,0,-9.76,63.44,4.88,63.44
-73.2,-34.16,39.04,53.68,-58.56,0,-4.88,0,-9.76,68.32,14.64,68.32
-53.68,-19.52,34.16,39.04,-43.92,4.88,0,4.88,-4.88,78.08,19.52,78.08
-9.76,-4.88,4.88,9.76,-9.76,0,-9.76,-9.76,-14.64,63.44,4.88,73.2
43.92,9.76,-34.16,-24.4,39.04,-14.64,-19.52,-19.52,-34.16,58.56,-4.88,68.32
92.72,19.52,-73.2,-53.68,82.96,-29.28,-34.16,-34.16,-43.92,43.92,-19.52,53.68
117.12,14.64,-102.48,-63.44,107.36,-43.92,-39.04,-34.16,-53.68,34.16,-24.4,48.8
107.36,4.88,-102.48,-53.68,102.48,-48.8,-43.92,-34.16,-58.56,24.4,-34.16,43.92
48.8,-9.76,-58.56,-19.52,53.68,-34.16,-34.16,-24.4,-43.92,34.16,-24.4,53.68
-4.88,-19.52,-14.64,14.64,4.88,-19.52,-14.64,-4.88,-24.4,48.8,-4.88,78.08
-43.92,-24.4,19.52,34.16,-34.16,-4.88,-9.76,4.88,-19.52,58.56,0,82.96
-87.84,-39.04,48.8,63.44,-68.32,4.88,-4.88,9.76,-9.76,58.56,0,87.84
-78.08,-34.16,43.92,58.56,-63.44,4.88,0,14.64,-4.88,63.44,0,92.72
-29.28,-14.64,14.64,24.4,-24.4,0,-4.88,14.64,-14.64,58.56,-9.76,82.96
29.28,0,-29.28,-14.64,29.28,-14.64,-24.4,0,-29.28,34.16,-19.52,68.32
82.96,9.76,-73.2,-43.92,78.08,-34.16,-34.16,-4.88,-34.16,24.4,-29.28,58.56
112.24,14.64,-97.6,-63.44,102.48,-43.92,-39.04,-14.64,-43.92,14.64,-43.92,43.92
102.48,4.88,-97.6,-53.68,97.6,-48.8,-34.16,-14.64,-39.04,9.76,-43.92,48.8
58.56,0,-58.56,-29.28,58.56,-29.28,-19.52,0,-19.52,29.28,-29.28,63.44
