I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-63.44,-29.28,34.16,48.8,-48.8,0,43.92,-14.64,-24.4,-39.04,-24.4,-48.8
-58.56,-29.28,29.28,43.92,-43.92,0,39.04,-14.64,-29.28,-43.92,-29.28,-48.8
-68.32,-29.28,39.04,48.8,-53.68,4.88,43.92,-9.76,-24.4,-39.04,-29.28,-43.92
-63.44,-14.64,48.8,39.04,-58.56,14.64,43.92,-9.76,-19.52,-39.04,-24.4,-48.8
-58.56,-19.52,39.04,39.04,-48.8,9.76,39.04,-9.76,-24.4,-39.04,-29.28,-53.68
-63.44,-29.28,34.16,48.8,-48.8,0,43.92,-4.88,-19.52,-39.04,-29.28,-48.8
-63.44,-14.64,48.8,39.04,-58.56,14.64,43.92,-4.88,-14.64,-34.16,-29.28,-48.8
-63.44,-19.52,43.92,43.92,-53.68,9.76,43.92,-9.76,-19.52,-43.92,-29.28,-53.68
-68.32,-34.16,34.16,53.68,-53.68,0,48.8,-4.88,-19.52,-39.04,-34.16,-53.68
-73.2,-29.28,43.92,53.68,-58.56,4.88,48.8,0,-14.64,-39.04,-34.16,-58.56
-82.96,-29.28,53.68,58.56,-68.32,9.76,53.68,4.88,-9.76,-39.04,-39.04,-63.44
-82.96,-24.4,58.56,53.68,-73.2,14.64,68.32,14.64,-4.88,-34.16,-34.16,-58.56
-102.48,-19.52,82.96,63.44,-92.72,29.28,82.96,34.16,9.76,-19.52,-29.28,-53.68
-117.12,9.76,126.88,53.68,-122,68.32,107.36,58.56,29.28,-9.76,-19.52,-48.8
-126.88,29.28,156.16,48.8,-141.52,92.72,126.88,87.84,53.68,9.76,-9.76,-39.04
-141.52,29.28,170.8,58.56,-156.16,97.6,151.28,126.88,87.84,34.16,9.76,-29.28
-126.88,43.92,170.8,43.92,-151.28,107.36,161.04,185.44,136.64,68.32,34.16,-9.76
-97.6,43.92,141.52,29.28,-122,92.72,165.92,234.24,190.32,117.12,58.56,4.88
-78.08,4.88,82.96,39.04,-82.96,43.92,141.52,224.48,185.44,126.88,63.44,4.88
-43.92,-14.64,29.28,29.28,-39.04,4.88,102.48,185.44,190.32,141.52,78.08,14.64
14.64,0,-14.64,-4.88,14.64,-9.76,48.8,141.52,200.08,190.32,131.76,63.44
82.96,43.92,-39.04,-63.44,58.56,0,4.88,131.76,263.52,297.68,239.12,165.92
146.4,117.12,-29.28,-131.76,87.84,43.92,-34.16,122,322.08,390.4,346.48,258.64
214.72,185.44,-29.28,-200.08,122,78.08,-73.2,107.36,375.76,483.12,444.08,361.12
326.96,273.28,-53.68,-297.68,190.32,107.36,-126.88,82.96,444.08,605.12,590.48,492.88
