I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
29.28,195.2,165.92,-112.24,-68.32,180.56,-253.76,-195.2,-9.76,1239.52,976,478.24
29.28,195.2,165.92,-112.24,-68.32,180.56,-253.76,-195.2,-9.76,1239.52,976,478.24
29.28,195.2,165.92,-112.24,-68.32,180.56,-253.76,-195.2,-9.76,1239.52,976,478.24
29.28,195.2,165.92,-112.24,-68.32,180.56,-253.76,-195.2,-9.76,1239.52,976,478.24
34.16,239.12,204.96,-136.64,-87.84,219.6,-351.36,-444.08,-331.84,1058.96,1000.4,546.56
39.04,283.04,244,-161.04,-102.48,263.52,-448.96,-683.2,-653.92,888.16,1015.04,614.88
43.92,326.96,283.04,-185.44,-122,302.56,-546.56,-922.32,-976,717.36,1029.68,683.2
48.8,370.88,322.08,-209.84,-136.64,346.48,-644.16,-1161.44,-1298.08,546.56,1044.32,751.52
-4.88,336.72,341.6,-165.92,-175.68,336.72,-707.6,-1400.56,-1844.64,-248.88,624.64,634.4
-48.8,302.56,351.36,-126.88,-200.08,326.96,-761.28,-1629.92,-2391.2,-1034.56,204.96,517.28
-92.72,268.4,361.12,-87.84,-229.36,312.32,-814.96,-1859.28,-2937.76,-1820.24,-214.72,400.16
-136.64,234.24,370.88,-48.8,-253.76,302.56,-868.64,-2088.64,-3484.32,-2605.92,-634.4,283.04
-151.28,151.28,302.56,0,-229.36,224.48,-912.56,-2083.76,-3455.04,-2698.64,-766.16,224.48
-156.16,78.08,234.24,39.04,-195.2,156.16,-946.72,-2078.88,-3425.76,-2791.36,-888.16,165.92
-161.04,4.88,165.92,78.08,-165.92,82.96,-980.88,-2074,-3396.48,-2884.08,-1010.16,107.36
-165.92,-68.32,97.6,117.12,-131.76,14.64,-1015.04,-2069.12,-3367.2,-2976.8,-1132.16,48.8
-151.28,-122,29.28,136.64,-92.72,-48.8,-941.84,-1815.36,-2986.56,-2640.08,-1068.72,-4.88
-146.4,-175.68,-29.28,161.04,-58.56,-102.48,-868.64,-1571.36,-2605.92,-2313.12,-1005.28,-58.56
-141.52,-229.36,-87.84,185.44,-29.28,-161.04,-795.44,-1327.36,-2225.28,-1986.16,-941.84,-112.24
-136.64,-283.04,-146.4,209.84,4.88,-214.72,-722.24,-1083.36,-1844.64,-1659.2,-878.4,-165.92
-136.64,-287.92,-151.28,214.72,4.88,-219.6,-639.28,-907.68,-1571.36,-1415.2,-775.92,-180.56
-136.64,-292.8,-156.16,214.72,9.76,-224.48,-556.32,-732,-1307.84,-1180.96,-673.44,-185.44
